"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","333,287,562","*****"
"    White alone","202,889,017","±137,138"
"    Black or African American alone","40,603,656","±83,789"
"    American Indian and Alaska Native alone","3,205,331","±45,868"
"    Asian alone","19,696,980","±42,836"
"    Native Hawaiian and Other Pacific Islander alone","665,807","±17,632"
"    Some Other Race alone","24,444,482","±162,384"
"    Two or More Races:","41,782,289","±162,670"
"        Two races including Some Other Race","28,124,190","±140,163"
"        Two races excluding Some Other Race, and three or more races","13,658,099","±118,557"